## section 2 key
## There are 221  energy bands, each with  184  time bins.
## Emission    Energy of   Brightness    std. error  
##   Time      bin center (n/sterad(p)/   (n/sterad(p)/  
##   (us)         (eV)     pulse/us/eV)  pulse/us/eV)
  4.2191e+02   1.0000e-05   1.4307e+09   5.9976e+08 
  4.4978e+02   1.0000e-05   1.4893e+09   5.3169e+08 
  4.7949e+02   1.0000e-05   4.1546e+08   2.8654e+08 
  5.1116e+02   1.0000e-05   1.3458e+09   4.3268e+08 
  5.4492e+02   1.0000e-05   3.2447e+08   2.3180e+08 
  5.8091e+02   1.0000e-05   1.3127e+09   3.6651e+08 
  6.1928e+02   1.0000e-05   1.0652e+09   3.0708e+08 
  6.6019e+02   1.0000e-05   6.4467e+08   2.2995e+08 
  7.0379e+02   1.0000e-05   4.5857e+08   1.8645e+08 
  7.5028e+02   1.0000e-05   1.4223e+08   9.9930e+07 
  7.9983e+02   1.0000e-05   3.9789e+08   1.6242e+08 
  8.5266e+02   1.0000e-05   3.7360e+08   1.5232e+08 
  9.0898e+02   1.0000e-05   1.1675e+08   8.2493e+07 
  9.6902e+02   1.0000e-05   1.6989e+08   8.3858e+07 
  1.0330e+03   1.0000e-05   3.6733e+04   3.4236e+03 
  1.1013e+03   1.0000e-05   7.2006e+04   4.0129e+04 
  1.1740e+03   1.0000e-05   7.3504e+04   4.5763e+04 
  1.2515e+03   1.0000e-05   2.2324e+04   2.8575e+03 
  1.3342e+03   1.0000e-05   6.7996e+04   5.1582e+04 
  1.4223e+03   1.0000e-05   1.2530e+04   1.3520e+03 
  1.5163e+03   1.0000e-05   8.9233e+03   1.0396e+03 
  1.6164e+03   1.0000e-05   4.3370e+04   3.1149e+04 
  1.7232e+03   1.0000e-05   5.2588e+03   6.3736e+02 
  1.8370e+03   1.0000e-05   4.9660e+03   8.1542e+02 
  1.9583e+03   1.0000e-05   1.2998e+04   1.0115e+04 
  2.0877e+03   1.0000e-05   1.3006e+04   7.8647e+03 
  2.2256e+03   1.0000e-05   9.2488e+03   7.1346e+03 
  2.3726e+03   1.0000e-05   1.7418e+03   2.2869e+02 
  2.5293e+03   1.0000e-05   5.8839e+04   5.7256e+04 
  2.6964e+03   1.0000e-05   9.1197e+03   8.0955e+03 
  2.8745e+03   1.0000e-05   5.8611e+02   9.2722e+01 
  3.0643e+03   1.0000e-05   5.4698e+02   8.0624e+01 
  3.2667e+03   1.0000e-05   3.6467e+02   5.5212e+01 
  3.4825e+03   1.0000e-05   4.6272e+02   9.2637e+01 
  3.7125e+03   1.0000e-05   2.9073e+02   5.6081e+01 
  3.9577e+03   1.0000e-05   1.8030e+02   2.9408e+01 
  4.2191e+03   1.0000e-05   1.4766e+02   2.7198e+01 
  4.4978e+03   1.0000e-05   1.4340e+03   1.3513e+03 
  4.7949e+03   1.0000e-05   9.0717e+01   2.1255e+01 
